&	PREFIX:6
& c	TEO:1
& c.	TEO:1
& co.	TEO:1
& company	TEO:1
& f.lli	TEO:1
& figli	TEO:1
&c	TEO:1
&c.	TEO:1
'ndrangheta	ORG:1
+	PREFIX:1
+ 39	ORG:1
+39	ORG:1	PREFIX:1
+39 challenge	ORG:1
101'ers	ORG:1
113	ORG:1
118	ORG:1
3m	ORG:1
5ive	ORG:1
730	NIL:1
740	NIL:1
Daewo	PREFIX:1
Daewo Matiz	NIL:1
Daewoo	PREFIX:3
Daewoo Matiz	NIL:1
Daewoo Nexia	NIL:1
Daewoo Nubira	NIL:1
Maglierie	TSO:1
Megane	PREFIX:2
Megane Maxi	NIL:1
Megane Scenic	NIL:1
Mégane	PREFIX:2
Mégane Classic	NIL:1
Mégane SW	NIL:1
a	PREFIX:1
a toys	PREFIX:1
a toys orchestra	ORG:1
a&t	ORG:1
a.c.a.t	ORG:1
a.c.a.t.	ORG:1
a.c.a.v	ORG:1
a.c.a.v.	ORG:1
a.c.c.d.	ORG:1
a.c.i.	ORG:1
a.c.l.i	ORG:1
a.c.s.	ORG:1
a.c.s.i.	ORG:1
a.c.s.m.	ORG:1
a.c.t.	ORG:1
a.d.t	ORG:1
a.ge	ORG:1
a.ge.	ORG:1
a.i.a.	ORG:1
a.i.d.o.	ORG:1
a.i.p.s.a	ORG:1
a.l.p.i.	ORG:1
a.n.e.d.	ORG:1
a.s	TSO:1
a.s.	ORG:1	TSO:1
a.s.c.	ORG:1
a.s.l.	ORG:1
a.s.m.	ORG:1
a.s.s.o.	ORG:1
a.t.o.	ORG:1
a.v.i.s.	ORG:1
abacus	ORG:2
abarth	ORG:1
abasan	ORG:1	PREFIX:1
abasan bari	ORG:1
abbasciano	ORG:1
abbott	ORG:1
abf	ORG:1
abi	NIL:1
abn	PREFIX:1
abn amro	ORG:1
abnormal	PREFIX:1
abnormal cherry	ORG:1
above	PREFIX:1
above &	PREFIX:1
above & beyond	ORG:1
ac	TSO:1
ac.e.ga.s	ORG:1
acat	ORG:1
acav	ORG:1
accademia	TSO:1
accd	ORG:1
accenture	ORG:1
acciaierie	PREFIX:1
acciaierie valsugana	ORG:1
acco	ORG:1
ace	PREFIX:1
ace of	PREFIX:1
ace of base	ORG:1
acea	ORG:1
acegas	ORG:1
acer	ORG:1
achilles	ORG:1
aci	ORG:1
acli	ORG:1
acme	ORG:1
acotel	ORG:1	PREFIX:1
acotel group	ORG:1
acqua	PREFIX:3
acqua marcia	ORG:1
acqua paradiso	ORG:1
acqua pia	PREFIX:1
acqua pia antica	PREFIX:1
acqua pia antica marcia	ORG:1
acquadolce	ORG:1
acquafan	ORG:1
acquarena	ORG:1
acque	PREFIX:1
acque potabili	ORG:1
acquedotto	PREFIX:1
acquedotto de	PREFIX:1
acquedotto de ferrari	ORG:1
acs	ORG:1
acsi	ORG:1
acsm	ORG:2	PREFIX:2
acsm di	PREFIX:1
acsm di primiero	ORG:1
acsm primiero	ORG:1
act.	ORG:1
actelios	ORG:2
action	PREFIX:3
action aid	ORG:1	PREFIX:1
action aid italia	ORG:1
action pact	ORG:1
actionadi	ORG:1
actionaid	ORG:1
acustar	ORG:1
ada'	PREFIX:1
ada' s	PREFIX:1
ada' s verselets	ORG:1
adanti	ORG:2
adb	ORG:1
adecco	ORG:1
adetex	ORG:1
adiconsum	ORG:1
adidas	ORG:1
adige	PREFIX:2
adige bitumi	ORG:1
adige sala	ORG:1
adl	ORG:1
admo	ORG:1
adn	PREFIX:1
adn krono	ORG:1
adnkronos	ORG:1
adobe	NIL:1
adoc	ORG:1
adr	ORG:1
adria	PREFIX:1
adria airways	ORG:1
adsl	NIL:1
aduc	ORG:1
adusbef	ORG:1
advanced	TSO:1	PREFIX:1
advanced computer	PREFIX:1
advanced computer systems	ORG:1
advo	ORG:1
aeaechnology	ORG:1
aec	ORG:1
aecm	ORG:1
aedes	ORG:1
aeg	ORG:1
aek	PREFIX:1
aek atene	ORG:1
aekyung	ORG:1
aem	ORG:1	PREFIX:1
aem torino	ORG:1
aemme	ORG:1
aemsa	ORG:1
aeneas	ORG:1
aer	PREFIX:1
aer lingus	ORG:1
aeritalia	ORG:1
aermacchi	ORG:1
aero	PREFIX:2
aero industries	ORG:1
aero llyod	ORG:1
aeroclub	ORG:1
aerocomplex	ORG:1
aerofirst	ORG:1
aeroflot	ORG:1
aeroleasing	ORG:1
aerolinas	ORG:1
aerolineas	ORG:1
aeromar	ORG:1
aeromexico	ORG:1
aeronautica	ORG:1
aeroporti	PREFIX:1
aeroporti di	PREFIX:1
aeroporti di roma	ORG:1
aeroporto	PREFIX:2
aeroporto caproni	ORG:1
aeroporto g.	PREFIX:1
aeroporto g. caproni	ORG:1
aerosmith	ORG:1
aeroterminal	PREFIX:1
aeroterminal venezia	ORG:1
aesse	ORG:1
af	ORG:1
afdvs	ORG:1
afed	ORG:1
affari	PREFIX:2
affari italiani	ORG:1
affari sociali	ORG:1
afic	ORG:1
afl	PREFIX:1
afl -	PREFIX:1
afl - cio	ORG:1
afme	ORG:1
afraid!	ORG:1
afterhours	ORG:1
ag	ORG:1
ag.	ORG:1
ag2r	ORG:1
agamatic	ORG:1
agca	ORG:1
agcom	ORG:1
age	ORG:1
agenda	NIL:1
agenzia	TSO:1	PREFIX:2
agenzia dello	PREFIX:1
agenzia dello sviluppo	ORG:1
agenzia per	PREFIX:1
agenzia per lo	PREFIX:1
agenzia per lo sviluppo	ORG:1
agenzie	TSO:1
agesc	ORG:1
agesci	ORG:1
agi	ORG:1
agiesse	ORG:1
agim	ORG:1
agimus	ORG:1
agip	ORG:2
agis	ORG:1
agnelli	PREFIX:2
agnelli metalli	ORG:1	PREFIX:1
agnelli metalli bergamo	ORG:1
ago	ORG:1
agonistica	TSO:2
agorà	ORG:1	PREFIX:1
agorà telematica	ORG:1
agpol	ORG:1
agraria	PREFIX:1
agraria trentina	ORG:1
agri	ORG:1
agricola	PREFIX:1
agricola mantovana	ORG:1
agriflor	ORG:1
agriform	ORG:1
agrim	ORG:1
agrinord	ORG:1
agriproject	ORG:1
agrisense	ORG:1
agritur	TSO:1
agrofair	ORG:1
ags	ORG:1
agusta	ORG:1
agv	ORG:1
agway	ORG:1
aiac	ORG:1
aib	ORG:1
aibes	ORG:1
aibi	ORG:1
aic	ORG:1
aica	ORG:1
aicc	ORG:1
aido	ORG:1
aids	PREFIX:1
aids care	PREFIX:1
aids care education	ORG:1
aie	ORG:1
aigle	ORG:1
aiia	ORG:1
aimc	ORG:1
aipsa	ORG:1
air	PREFIX:10
air atlanta	ORG:1
air avellino	ORG:1
air bag	NIL:1
air canada	ORG:1
air dolomiti	ORG:1
air europa	ORG:1
air europe	ORG:1
air france	ORG:1
air malta	ORG:1
air one	ORG:1
airbus	ORG:1
airfoyle	ORG:1
airuk	PREFIX:1
airuk -	PREFIX:1
airuk - klm	ORG:1
aism	NIL:1
aisoftw@re	ORG:1
aisoftware	ORG:2
aitor	ORG:1
aiutateci	PREFIX:1
aiutateci a	PREFIX:1
aiutateci a salvare	PREFIX:1
aiutateci a salvare i	PREFIX:1
aiutateci a salvare i bambini	ORG:1
ajax	ORG:1
ajinomoto	ORG:1
akercocke	ORG:1
akzo	ORG:1
al	PREFIX:6
al -	PREFIX:2
al - jazira	ORG:1
al - qaeda	ORG:1
al jazira	ORG:1
al qaeda	ORG:1
al qaida	ORG:1
al qaida'	ORG:1
alaska	PREFIX:1
alaska airlines	ORG:1
albatros	ORG:1
alberghi	PREFIX:1
alberghi atesini	ORG:1
albergo	TSO:1	PREFIX:1
albergo ristorante	TSO:1
albinoleffe	ORG:1
albion	PREFIX:1
albion band	ORG:1
album	NIL:1
alcatel	ORG:1	PREFIX:2
alcatel -	PREFIX:1
alcatel - bell	ORG:1
alcatel alenia	PREFIX:1
alcatel alenia space	ORG:1
alchem	ORG:1
alchemists	ORG:1
alcoa	ORG:1	PREFIX:1
alcoa italia	ORG:1
alcom	ORG:1
aldebra	ORG:1
aldyl	ORG:1
alenia	PREFIX:6
alenia aeronautica	ORG:1
alenia difesa	ORG:1
alenia marconi	ORG:1	PREFIX:1
alenia marconi systems	ORG:1
alenia space	ORG:1
alenia spazio	ORG:1
alerion	PREFIX:1
alerion industries	ORG:1
alethes	ORG:1
alfa	PREFIX:9
alfa 147	NIL:1
alfa 149	NIL:1
alfa 156	NIL:1
alfa 157	NIL:1
alfa 159	NIL:1
alfa 169	NIL:1
alfa brera	NIL:1
alfa gt	NIL:1
alfa romeo	ORG:1
alg	ORG:1
algol	ORG:2
algsu	ORG:1
alhambra	ORG:1
alien	PREFIX:1
alien sex	PREFIX:1
alien sex fiend	ORG:1
alinghi	ORG:1
alitalia	ORG:1	PREFIX:3
alitalia airport	ORG:1
alitalia express	ORG:1
alitalia servizi	ORG:1
all	PREFIX:2
all about	PREFIX:1
all about eve	ORG:1
all saints	ORG:1
alleanza	ORG:1	PREFIX:3
alleanza assicurazioni	ORG:1
alleanza del	PREFIX:1
alleanza del nord	ORG:1
alleanza nazionale	ORG:1
allen	PREFIX:1
allen -	PREFIX:1
allen - bradley	ORG:1
allenaza	PREFIX:1
allenaza del	PREFIX:1
allenaza del sud	ORG:1
allergan	ORG:1
allied	PREFIX:1
allied -	PREFIX:1
allied - signal	ORG:1
almamegretta	ORG:1
aloha	PREFIX:1
aloha airlines	ORG:1
alois	PREFIX:1
alois lageder	PREFIX:1
alois lageder vinoteque	ORG:1
alpe	PREFIX:1
alpe cermis	ORG:1
alpefrutta	ORG:1
alpen	ORG:1
alpenbau	ORG:1
alpenverein	ORG:1
alpes	ORG:1
alpha	ORG:1
alphacan	ORG:1
alphataurus	ORG:1
alpicolor	ORG:1
alpikom	ORG:2
alpitour	TSO:1
alstom	ORG:1	PREFIX:1
alstom ferroviaria	ORG:1
alta	PREFIX:1
alta corte	ORG:1
altavista	ORG:1
alter	PREFIX:1
alter bridge	ORG:1
alto	PREFIX:3
alto adige	PREFIX:1
alto adige riscossioni	ORG:1
alto commissariato	PREFIX:1
alto commissariato rifugiati	ORG:1
alto garda	PREFIX:1
alto garda servizi	ORG:1
altria	ORG:1
altroconsumo	ORG:1
alujain	ORG:1
alusit	ORG:1
amax	ORG:1
amb	ORG:1
amc	ORG:1
amcol	ORG:1
amd	ORG:1
amdahl	ORG:1
amea	ORG:1
amebix	ORG:1
america	PREFIX:1
america west	PREFIX:1
america west airlines	ORG:1
american	PREFIX:2
american airlines	ORG:1
american trans	PREFIX:1
american trans air	ORG:1
amerihost	ORG:1
ametek	ORG:1
amga	ORG:1
amgen	ORG:1
ami	ORG:1
amici	PREFIX:2
amici della	PREFIX:2
amici della neonatologia	PREFIX:1
amici della neonatologia trentina	ORG:1
amici della terra	ORG:1
amicidellaterra	ORG:1
amnesty	ORG:1	PREFIX:1
amnesty international	ORG:1
amnu	ORG:1
amoco	ORG:1
amoco.	ORG:1
amoskeag	ORG:1
amp	ORG:2
amplifier	ORG:1
amplifon	ORG:1
amref	ORG:1
amsa	ORG:2
amsc	ORG:1
amstel	PREFIX:2
amstel -	PREFIX:1
amstel - gold	PREFIX:1
amstel - gold -	PREFIX:1
amstel - gold - race	ORG:1
amstel gold	PREFIX:1
amstel gold race	ORG:1
amt	ORG:1
amtrak	ORG:1
an	ORG:1
ana	ORG:1
anaal	PREFIX:1
anaal nathrakh	ORG:1
anaci	ORG:1
anacomp	ORG:1
anagrafe	ORG:1	PREFIX:1
anagrafe tributaria	ORG:1
analogic	ORG:1
anas	ORG:1
anathema	ORG:1
anaune	PREFIX:1
anaune tassullo	ORG:1
